Image,Object ID,Area,Edges,Center_x,Center_y,Width,Height,lbp_mean,lbp_std,Prediction
2024_001_small_NEOS_SCI_2024001000312.png,67,1,0,225.0,132.0,1,1,0.0,0.0,Debris
2024_001_small_NEOS_SCI_2024001000312.png,68,4,0,263.5,132.5,2,2,3.0,0.0,Debris
2024_001_small_NEOS_SCI_2024001000312.png,69,1,0,253.0,135.0,1,1,0.0,0.0,Debris
2024_001_small_NEOS_SCI_2024001000312.png,70,1,0,351.0,135.0,1,1,0.0,0.0,Debris
2024_001_small_NEOS_SCI_2024001000312.png,71,1,0,173.0,136.0,1,1,0.0,0.0,Debris
2024_001_small_NEOS_SCI_2024001000312.png,72,4,0,191.5,144.5,2,2,3.0,0.0,Debris
2024_001_small_NEOS_SCI_2024001000312.png,73,1,0,277.0,144.0,1,1,0.0,0.0,Debris
2024_001_small_NEOS_SCI_2024001000312.png,74,6,4,359.0,149.5,3,2,3.6666666666666665,0.9428090415820634,Debris
2024_001_small_NEOS_SCI_2024001000312.png,75,3,2,261.6666666666667,151.66666666666666,2,2,4.75,3.766629793329841,Debris
2024_001_small_NEOS_SCI_2024001000312.png,76,1,0,306.0,152.0,1,1,0.0,0.0,Debris
2024_001_small_NEOS_SCI_2024001000312.png,77,2,0,354.5,156.0,2,1,1.0,0.0,Debris
2024_001_small_NEOS_SCI_2024001000312.png,78,1,0,200.0,158.0,1,1,0.0,0.0,Debris
2024_001_small_NEOS_SCI_2024001000312.png,79,1,0,294.0,158.0,1,1,0.0,0.0,Debris
2024_001_small_NEOS_SCI_2024001000312.png,80,1,0,249.0,162.0,1,1,0.0,0.0,Debris
2024_001_small_NEOS_SCI_2024001000312.png,81,1,0,372.0,165.0,1,1,0.0,0.0,Debris
2024_001_small_NEOS_SCI_2024001000312.png,82,1,0,361.0,169.0,1,1,0.0,0.0,Debris
2024_001_small_NEOS_SCI_2024001000312.png,83,1,0,359.0,170.0,1,1,0.0,0.0,Debris
2024_001_small_NEOS_SCI_2024001000312.png,84,1,0,269.0,173.0,1,1,0.0,0.0,Debris
2024_001_small_NEOS_SCI_2024001000312.png,85,1,0,281.0,174.0,1,1,0.0,0.0,Debris
2024_001_small_NEOS_SCI_2024001000312.png,86,4,0,178.5,182.5,2,2,3.0,0.0,Debris
2024_001_small_NEOS_SCI_2024001000312.png,87,8,6,217.5,183.0,4,3,5.333333333333333,3.0912061651652345,Debris
2024_001_small_NEOS_SCI_2024001000312.png,88,1,0,253.0,183.0,1,1,0.0,0.0,Debris
2024_001_small_NEOS_SCI_2024001000312.png,89,2,0,128.5,184.0,2,1,1.0,0.0,Celestial Object
2024_001_small_NEOS_SCI_2024001000312.png,90,1,0,350.0,185.0,1,1,0.0,0.0,Debris
2024_001_small_NEOS_SCI_2024001000312.png,91,1,0,374.0,185.0,1,1,0.0,0.0,Debris
2024_001_small_NEOS_SCI_2024001000312.png,92,4,0,251.5,186.5,2,2,3.0,0.0,Debris
2024_001_small_NEOS_SCI_2024001000312.png,93,1,0,268.0,189.0,1,1,0.0,0.0,Debris
2024_001_small_NEOS_SCI_2024001000312.png,94,2,0,344.5,190.0,2,1,1.0,0.0,Debris
2024_001_small_NEOS_SCI_2024001000312.png,95,1,0,363.0,192.0,1,1,0.0,0.0,Debris
2024_001_small_NEOS_SCI_2024001000312.png,96,4,0,32.5,194.5,2,2,3.0,0.0,Debris
2024_001_small_NEOS_SCI_2024001000312.png,97,3,0,209.33333333333334,194.33333333333334,2,2,4.75,3.766629793329841,Debris
2024_001_small_NEOS_SCI_2024001000312.png,98,1,0,233.0,195.0,1,1,0.0,0.0,Debris
